specialisation,subspecialisation,name,lga,workspaceName,latitude,longitude
Asset,Wheat Farm,Kalyx Perth,Williams,Williams Asset Model,-32.95687,116.88524
Asset,Substation,Wagin,Wagin,Wagin Asset Model,-33.31668495,117.3160484
Asset,Wheat Farm,Living Farm,Wagin,Wagin Asset Model,-33.30854965,117.3445679
Asset,Natural Gas Power Station,Broome,Broome,Broome Asset Model,-17.981027,122.204602
Asset,Fuel Terminal,Broome,Broome,Broome Asset Model,-18.00362396,122.2058983
Asset,Fuel Terminal,Broome,Broome,Broome Asset Model,-18.00322723,122.2079086
Asset,Community Energy Organisation,Low Carbon Kimberly,Broome,Broome Asset Model,-17.96170294,122.2369207
Asset,University,Pilbara Kimberley University Centres Broome,Broome,Broome Asset Model,-17.9535163,122.2449916
Asset,Natural Gas Power Station,Derby,Derby-West Kimberley,Derby-West Kimberley Asset Model,-17.31414107,123.64415
Asset,Natural Gas Power Station,Camballin,Derby-West Kimberley,Derby-West Kimberley Asset Model,-18.02775749,124.1620851
Asset,Natural Gas Power Station,Fitzroy Crossing,Derby-West Kimberley,Derby-West Kimberley Asset Model,-18.19557505,125.5597112
Asset,Natural Gas Power Station,Halls Creek,Halls Creek,Halls Creek Asset Model,-18.23275148,127.661897
Asset,Fossil Fuel Power Station,Savannah Nickel Mine,Halls Creek,Halls Creek Asset Model,-17.36309536,128.0330764
Asset,Fossil Fuel Power Station,Warmun,Halls Creek,Halls Creek Asset Model,-17.0258835,128.2113196
Asset,Substation,Argyle Diamond Mine,Wyndham-East Kimberley,Wyndham-East Kimberley Asset Model,-16.71628385,128.4038786
Asset,Fossil Fuel Power Station,Argyle Diamond Mine,Wyndham-East Kimberley,Wyndham-East Kimberley Asset Model,-16.716157,128.40308
Asset,Pumped Hydropower,Ord River,Wyndham-East Kimberley,Wyndham-East Kimberley Asset Model,-16.120132,128.738325
Asset,Substation,Lake Argyle,Wyndham-East Kimberley,Wyndham-East Kimberley Asset Model,-16.10520409,128.7438008
Asset,Fossil Fuel Power Station,Kununurra,Wyndham-East Kimberley,Wyndham-East Kimberley Asset Model,-15.77955678,128.739462
Asset,Substation,Kununurra,Wyndham-East Kimberley,Wyndham-East Kimberley Asset Model,-15.7788658,128.740308
Asset,Hydrogen Hub,East Kimberley Clean Energy Project,Wyndham-East Kimberley,Wyndham-East Kimberley Asset Model,-15.773611,128.738611
Asset,Substation,Guda Guda,Wyndham-East Kimberley,Wyndham-East Kimberley Asset Model,-15.5278775,128.1883345
Asset,Fuel Terminal,Wyndham,Wyndham-East Kimberley,Wyndham-East Kimberley Asset Model,-15.45116234,128.1061859
Asset,Fossil Fuel Power Station,Kalumburu,Wyndham-East Kimberley,Wyndham-East Kimberley Asset Model,-14.29385554,126.6439552
Asset,Fossil Fuel Power Station,Bidyadanga,Broome,Broome Asset Model,-18.68162717,121.7847809
